ID,Day,Date,Time_x,Month,Total Vehicles,Vehicle Type_x,Payment Method_x,Location_x,Lane_x,Wind Speed,Precipitation,Snow,Max Temp,Min Temp,Violation ID,Time_y,Vehicle Type_y,Payment Method_y,Location_y,Lane_y,Violation,Traffic ID_x,Bus ID,Time,Departures,Passengers per Bus,Location,Traffic ID_y
11,Wednesday,2024-09-18,10:44:00,September,499,Bus,Cash,Tunnel B,2,15.8,97.3,7.0,27.3,26.7,272,06:50:00,Large Truck,Paid,Terminal C,5,False,15,485,03:26:00,3,68,Bridge A,86
11,Wednesday,2024-09-18,10:44:00,September,499,Bus,Cash,Tunnel B,2,15.8,97.3,7.0,27.3,26.7,372,10:03:00,Large Truck,Paid,Tunnel B,2,True,210,485,03:26:00,3,68,Bridge A,86
497,Wednesday,2024-09-18,23:49:00,September,472,Small Truck,EZ Pass,Tunnel B,5,8.8,91.7,3.3,34.2,21.7,145,22:28:00,Large Truck,Unpaid,Terminal C,8,True,108,485,03:26:00,3,68,Bridge A,86
497,Wednesday,2024-09-18,23:49:00,September,472,Small Truck,EZ Pass,Tunnel B,5,8.8,91.7,3.3,34.2,21.7,272,06:50:00,Large Truck,Paid,Terminal C,5,False,15,485,03:26:00,3,68,Bridge A,86
497,Wednesday,2024-09-18,23:49:00,September,472,Small Truck,EZ Pass,Tunnel B,5,8.8,91.7,3.3,34.2,21.7,372,10:03:00,Large Truck,Paid,Tunnel B,2,True,210,485,03:26:00,3,68,Bridge A,86
14,Friday,2024-04-12,12:51:00,April,233,Bus,EZ Pass,Bridge A,10,13.6,44.4,8.3,26.1,-12.6,237,05:17:00,Small Truck,Paid,Terminal C,6,False,173,178,19:00:00,8,16,Terminal C,308
14,Friday,2024-04-12,12:51:00,April,233,Bus,EZ Pass,Bridge A,10,13.6,44.4,8.3,26.1,-12.6,237,05:17:00,Small Truck,Paid,Terminal C,6,False,173,473,20:33:00,10,50,Terminal C,364
14,Friday,2024-04-12,12:51:00,April,233,Bus,EZ Pass,Bridge A,10,13.6,44.4,8.3,26.1,-12.6,312,19:42:00,Large Truck,Unpaid,Bridge A,3,True,356,178,19:00:00,8,16,Terminal C,308
14,Friday,2024-04-12,12:51:00,April,233,Bus,EZ Pass,Bridge A,10,13.6,44.4,8.3,26.1,-12.6,312,19:42:00,Large Truck,Unpaid,Bridge A,3,True,356,473,20:33:00,10,50,Terminal C,364
115,Friday,2024-04-12,14:45:00,April,73,Auto,EZ Pass,Terminal C,10,11.0,9.4,7.2,7.1,13.3,237,05:17:00,Small Truck,Paid,Terminal C,6,False,173,178,19:00:00,8,16,Terminal C,308
115,Friday,2024-04-12,14:45:00,April,73,Auto,EZ Pass,Terminal C,10,11.0,9.4,7.2,7.1,13.3,237,05:17:00,Small Truck,Paid,Terminal C,6,False,173,473,20:33:00,10,50,Terminal C,364
115,Friday,2024-04-12,14:45:00,April,73,Auto,EZ Pass,Terminal C,10,11.0,9.4,7.2,7.1,13.3,312,19:42:00,Large Truck,Unpaid,Bridge A,3,True,356,178,19:00:00,8,16,Terminal C,308
115,Friday,2024-04-12,14:45:00,April,73,Auto,EZ Pass,Terminal C,10,11.0,9.4,7.2,7.1,13.3,312,19:42:00,Large Truck,Unpaid,Bridge A,3,True,356,473,20:33:00,10,50,Terminal C,364
16,Thursday,2024-05-16,17:41:00,May,388,Large Truck,EZ Pass,Tunnel B,7,18.6,73.4,5.7,25.5,20.6,191,12:42:00,Large Truck,Unpaid,Terminal C,4,True,370,194,19:47:00,3,36,Terminal C,425
16,Thursday,2024-05-16,17:41:00,May,388,Large Truck,EZ Pass,Tunnel B,7,18.6,73.4,5.7,25.5,20.6,191,12:42:00,Large Truck,Unpaid,Terminal C,4,True,370,362,12:38:00,7,75,Bridge A,167
16,Thursday,2024-05-16,17:41:00,May,388,Large Truck,EZ Pass,Tunnel B,7,18.6,73.4,5.7,25.5,20.6,339,05:38:00,Small Truck,Paid,Bridge A,3,True,490,194,19:47:00,3,36,Terminal C,425
16,Thursday,2024-05-16,17:41:00,May,388,Large Truck,EZ Pass,Tunnel B,7,18.6,73.4,5.7,25.5,20.6,339,05:38:00,Small Truck,Paid,Bridge A,3,True,490,362,12:38:00,7,75,Bridge A,167
314,Thursday,2024-05-16,13:09:00,May,350,Small Truck,Cash,Terminal C,7,9.3,56.5,9.9,28.4,19.2,191,12:42:00,Large Truck,Unpaid,Terminal C,4,True,370,194,19:47:00,3,36,Terminal C,425
314,Thursday,2024-05-16,13:09:00,May,350,Small Truck,Cash,Terminal C,7,9.3,56.5,9.9,28.4,19.2,191,12:42:00,Large Truck,Unpaid,Terminal C,4,True,370,362,12:38:00,7,75,Bridge A,167
314,Thursday,2024-05-16,13:09:00,May,350,Small Truck,Cash,Terminal C,7,9.3,56.5,9.9,28.4,19.2,339,05:38:00,Small Truck,Paid,Bridge A,3,True,490,194,19:47:00,3,36,Terminal C,425
314,Thursday,2024-05-16,13:09:00,May,350,Small Truck,Cash,Terminal C,7,9.3,56.5,9.9,28.4,19.2,339,05:38:00,Small Truck,Paid,Bridge A,3,True,490,362,12:38:00,7,75,Bridge A,167
382,Thursday,2024-05-16,16:08:00,May,245,Bus,EZ Pass,Terminal C,5,9.4,11.7,1.8,35.0,14.2,191,12:42:00,Large Truck,Unpaid,Terminal C,4,True,370,194,19:47:00,3,36,Terminal C,425
382,Thursday,2024-05-16,16:08:00,May,245,Bus,EZ Pass,Terminal C,5,9.4,11.7,1.8,35.0,14.2,191,12:42:00,Large Truck,Unpaid,Terminal C,4,True,370,362,12:38:00,7,75,Bridge A,167
382,Thursday,2024-05-16,16:08:00,May,245,Bus,EZ Pass,Terminal C,5,9.4,11.7,1.8,35.0,14.2,339,05:38:00,Small Truck,Paid,Bridge A,3,True,490,194,19:47:00,3,36,Terminal C,425
382,Thursday,2024-05-16,16:08:00,May,245,Bus,EZ Pass,Terminal C,5,9.4,11.7,1.8,35.0,14.2,339,05:38:00,Small Truck,Paid,Bridge A,3,True,490,362,12:38:00,7,75,Bridge A,167
416,Thursday,2024-05-16,05:21:00,May,428,Large Truck,Cash,Bridge A,7,4.6,76.7,5.5,26.1,-1.6,191,12:42:00,Large Truck,Unpaid,Terminal C,4,True,370,194,19:47:00,3,36,Terminal C,425
416,Thursday,2024-05-16,05:21:00,May,428,Large Truck,Cash,Bridge A,7,4.6,76.7,5.5,26.1,-1.6,191,12:42:00,Large Truck,Unpaid,Terminal C,4,True,370,362,12:38:00,7,75,Bridge A,167
416,Thursday,2024-05-16,05:21:00,May,428,Large Truck,Cash,Bridge A,7,4.6,76.7,5.5,26.1,-1.6,339,05:38:00,Small Truck,Paid,Bridge A,3,True,490,194,19:47:00,3,36,Terminal C,425
416,Thursday,2024-05-16,05:21:00,May,428,Large Truck,Cash,Bridge A,7,4.6,76.7,5.5,26.1,-1.6,339,05:38:00,Small Truck,Paid,Bridge A,3,True,490,362,12:38:00,7,75,Bridge A,167
24,Friday,2024-03-01,22:04:00,March,461,Small Truck,EZ Pass,Tunnel B,5,3.8,22.1,6.7,4.0,16.8,168,01:28:00,Bus,Paid,Bridge A,5,True,424,99,11:00:00,13,77,Bridge A,75
104,Friday,2024-03-01,01:35:00,March,310,Auto,Cash,Bridge A,7,7.5,32.3,1.5,5.2,-10.2,168,01:28:00,Bus,Paid,Bridge A,5,True,424,99,11:00:00,13,77,Bridge A,75
182,Friday,2024-03-01,04:09:00,March,488,Large Truck,EZ Pass,Tunnel B,8,19.9,79.0,2.4,-2.5,15.2,168,01:28:00,Bus,Paid,Bridge A,5,True,424,99,11:00:00,13,77,Bridge A,75
355,Friday,2024-03-01,03:30:00,March,300,Large Truck,Cash,Terminal C,6,4.8,56.8,3.4,-0.1,-19.5,168,01:28:00,Bus,Paid,Bridge A,5,True,424,99,11:00:00,13,77,Bridge A,75
482,Friday,2024-03-01,17:38:00,March,453,Auto,EZ Pass,Terminal C,3,6.8,41.2,6.1,27.2,0.6,168,01:28:00,Bus,Paid,Bridge A,5,True,424,99,11:00:00,13,77,Bridge A,75
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,68,16:59:00,Large Truck,Paid,Bridge A,5,False,454,32,17:02:00,16,26,Bridge A,460
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,68,16:59:00,Large Truck,Paid,Bridge A,5,False,454,106,23:26:00,17,84,Terminal C,367
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,68,16:59:00,Large Truck,Paid,Bridge A,5,False,454,128,03:03:00,9,10,Bridge A,7
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,68,16:59:00,Large Truck,Paid,Bridge A,5,False,454,377,12:30:00,18,12,Tunnel B,295
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,231,05:14:00,Small Truck,Unpaid,Terminal C,2,False,357,32,17:02:00,16,26,Bridge A,460
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,231,05:14:00,Small Truck,Unpaid,Terminal C,2,False,357,106,23:26:00,17,84,Terminal C,367
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,231,05:14:00,Small Truck,Unpaid,Terminal C,2,False,357,128,03:03:00,9,10,Bridge A,7
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,231,05:14:00,Small Truck,Unpaid,Terminal C,2,False,357,377,12:30:00,18,12,Tunnel B,295
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,363,23:48:00,Bus,Paid,Tunnel B,10,False,254,32,17:02:00,16,26,Bridge A,460
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,363,23:48:00,Bus,Paid,Tunnel B,10,False,254,106,23:26:00,17,84,Terminal C,367
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,363,23:48:00,Bus,Paid,Tunnel B,10,False,254,128,03:03:00,9,10,Bridge A,7
25,Friday,2024-02-02,01:50:00,February,105,Auto,EZ Pass,Tunnel B,10,14.9,10.4,0.9,18.0,15.6,363,23:48:00,Bus,Paid,Tunnel B,10,False,254,377,12:30:00,18,12,Tunnel B,295
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,68,16:59:00,Large Truck,Paid,Bridge A,5,False,454,32,17:02:00,16,26,Bridge A,460
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,68,16:59:00,Large Truck,Paid,Bridge A,5,False,454,106,23:26:00,17,84,Terminal C,367
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,68,16:59:00,Large Truck,Paid,Bridge A,5,False,454,128,03:03:00,9,10,Bridge A,7
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,68,16:59:00,Large Truck,Paid,Bridge A,5,False,454,377,12:30:00,18,12,Tunnel B,295
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,231,05:14:00,Small Truck,Unpaid,Terminal C,2,False,357,32,17:02:00,16,26,Bridge A,460
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,231,05:14:00,Small Truck,Unpaid,Terminal C,2,False,357,106,23:26:00,17,84,Terminal C,367
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,231,05:14:00,Small Truck,Unpaid,Terminal C,2,False,357,128,03:03:00,9,10,Bridge A,7
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,231,05:14:00,Small Truck,Unpaid,Terminal C,2,False,357,377,12:30:00,18,12,Tunnel B,295
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,363,23:48:00,Bus,Paid,Tunnel B,10,False,254,32,17:02:00,16,26,Bridge A,460
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,363,23:48:00,Bus,Paid,Tunnel B,10,False,254,106,23:26:00,17,84,Terminal C,367
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,363,23:48:00,Bus,Paid,Tunnel B,10,False,254,128,03:03:00,9,10,Bridge A,7
296,Friday,2024-02-02,03:52:00,February,300,Large Truck,Cash,Bridge A,5,1.6,75.4,0.7,-4.6,20.6,363,23:48:00,Bus,Paid,Tunnel B,10,False,254,377,12:30:00,18,12,Tunnel B,295
27,Sunday,2024-09-29,08:43:00,September,397,Large Truck,Cash,Terminal C,1,1.6,24.2,4.2,23.5,7.2,333,07:20:00,Large Truck,Paid,Bridge A,6,False,206,113,16:18:00,12,10,Terminal C,165
27,Sunday,2024-09-29,08:43:00,September,397,Large Truck,Cash,Terminal C,1,1.6,24.2,4.2,23.5,7.2,333,07:20:00,Large Truck,Paid,Bridge A,6,False,206,481,04:34:00,13,36,Tunnel B,358
27,Sunday,2024-09-29,08:43:00,September,397,Large Truck,Cash,Terminal C,1,1.6,24.2,4.2,23.5,7.2,500,05:59:00,Auto,Paid,Terminal C,1,True,228,113,16:18:00,12,10,Terminal C,165
27,Sunday,2024-09-29,08:43:00,September,397,Large Truck,Cash,Terminal C,1,1.6,24.2,4.2,23.5,7.2,500,05:59:00,Auto,Paid,Terminal C,1,True,228,481,04:34:00,13,36,Tunnel B,358
28,Wednesday,2024-08-14,14:36:00,August,324,Small Truck,EZ Pass,Tunnel B,3,10.0,70.9,8.5,5.8,16.7,43,03:37:00,Small Truck,Paid,Terminal C,10,False,164,84,23:04:00,6,41,Terminal C,90
28,Wednesday,2024-08-14,14:36:00,August,324,Small Truck,EZ Pass,Tunnel B,3,10.0,70.9,8.5,5.8,16.7,43,03:37:00,Small Truck,Paid,Terminal C,10,False,164,129,01:19:00,2,52,Bridge A,352
351,Wednesday,2024-08-14,23:20:00,August,118,Small Truck,Cash,Tunnel B,9,11.1,15.9,1.0,-2.6,-15.9,43,03:37:00,Small Truck,Paid,Terminal C,10,False,164,84,23:04:00,6,41,Terminal C,90
351,Wednesday,2024-08-14,23:20:00,August,118,Small Truck,Cash,Tunnel B,9,11.1,15.9,1.0,-2.6,-15.9,43,03:37:00,Small Truck,Paid,Terminal C,10,False,164,129,01:19:00,2,52,Bridge A,352
29,Tuesday,2024-12-24,10:44:00,December,212,Bus,EZ Pass,Terminal C,1,9.3,35.7,0.8,1.3,27.4,201,15:26:00,Auto,Unpaid,Tunnel B,8,False,62,67,21:09:00,1,16,Tunnel B,73
468,Tuesday,2024-12-24,16:30:00,December,232,Small Truck,EZ Pass,Bridge A,4,4.7,33.0,1.1,4.6,-18.9,201,15:26:00,Auto,Unpaid,Tunnel B,8,False,62,67,21:09:00,1,16,Tunnel B,73
31,Saturday,2024-06-29,17:09:00,June,427,Auto,EZ Pass,Tunnel B,10,13.0,39.1,9.9,-8.9,24.3,12,14:06:00,Auto,Paid,Bridge A,1,True,378,247,21:14:00,14,42,Terminal C,331
31,Saturday,2024-06-29,17:09:00,June,427,Auto,EZ Pass,Tunnel B,10,13.0,39.1,9.9,-8.9,24.3,12,14:06:00,Auto,Paid,Bridge A,1,True,378,476,00:20:00,6,58,Tunnel B,428
31,Saturday,2024-06-29,17:09:00,June,427,Auto,EZ Pass,Tunnel B,10,13.0,39.1,9.9,-8.9,24.3,403,15:00:00,Bus,Paid,Bridge A,5,False,79,247,21:14:00,14,42,Terminal C,331
31,Saturday,2024-06-29,17:09:00,June,427,Auto,EZ Pass,Tunnel B,10,13.0,39.1,9.9,-8.9,24.3,403,15:00:00,Bus,Paid,Bridge A,5,False,79,476,00:20:00,6,58,Tunnel B,428
113,Saturday,2024-06-29,02:06:00,June,274,Large Truck,Cash,Terminal C,7,9.0,82.6,0.1,-1.3,15.6,12,14:06:00,Auto,Paid,Bridge A,1,True,378,247,21:14:00,14,42,Terminal C,331
113,Saturday,2024-06-29,02:06:00,June,274,Large Truck,Cash,Terminal C,7,9.0,82.6,0.1,-1.3,15.6,12,14:06:00,Auto,Paid,Bridge A,1,True,378,476,00:20:00,6,58,Tunnel B,428
113,Saturday,2024-06-29,02:06:00,June,274,Large Truck,Cash,Terminal C,7,9.0,82.6,0.1,-1.3,15.6,403,15:00:00,Bus,Paid,Bridge A,5,False,79,247,21:14:00,14,42,Terminal C,331
113,Saturday,2024-06-29,02:06:00,June,274,Large Truck,Cash,Terminal C,7,9.0,82.6,0.1,-1.3,15.6,403,15:00:00,Bus,Paid,Bridge A,5,False,79,476,00:20:00,6,58,Tunnel B,428
33,Wednesday,2024-03-06,19:58:00,March,362,Small Truck,EZ Pass,Tunnel B,7,6.8,83.0,4.4,8.3,-2.5,172,15:41:00,Auto,Paid,Bridge A,10,True,325,341,18:42:00,4,95,Terminal C,203
39,Wednesday,2024-11-13,01:27:00,November,169,Large Truck,EZ Pass,Bridge A,2,20.0,44.4,4.2,24.1,11.9,156,10:20:00,Small Truck,Paid,Terminal C,3,True,61,38,03:46:00,10,83,Terminal C,95
39,Wednesday,2024-11-13,01:27:00,November,169,Large Truck,EZ Pass,Bridge A,2,20.0,44.4,4.2,24.1,11.9,162,12:46:00,Bus,Paid,Tunnel B,2,True,172,38,03:46:00,10,83,Terminal C,95
41,Sunday,2024-02-18,07:01:00,February,322,Auto,EZ Pass,Bridge A,10,7.8,74.6,5.9,-3.3,18.3,185,20:13:00,Bus,Paid,Tunnel B,5,True,412,354,08:08:00,19,49,Terminal C,195
41,Sunday,2024-02-18,07:01:00,February,322,Auto,EZ Pass,Bridge A,10,7.8,74.6,5.9,-3.3,18.3,431,15:42:00,Bus,Paid,Terminal C,4,False,341,354,08:08:00,19,49,Terminal C,195
142,Sunday,2024-02-18,12:28:00,February,157,Small Truck,EZ Pass,Terminal C,10,17.5,95.4,7.7,30.2,21.6,185,20:13:00,Bus,Paid,Tunnel B,5,True,412,354,08:08:00,19,49,Terminal C,195
142,Sunday,2024-02-18,12:28:00,February,157,Small Truck,EZ Pass,Terminal C,10,17.5,95.4,7.7,30.2,21.6,431,15:42:00,Bus,Paid,Terminal C,4,False,341,354,08:08:00,19,49,Terminal C,195
42,Monday,2024-11-04,13:21:00,November,97,Small Truck,Cash,Terminal C,6,4.7,95.0,4.3,31.4,25.5,158,07:03:00,Bus,Paid,Tunnel B,3,True,426,3,15:02:00,15,76,Tunnel B,433
42,Monday,2024-11-04,13:21:00,November,97,Small Truck,Cash,Terminal C,6,4.7,95.0,4.3,31.4,25.5,200,02:08:00,Small Truck,Unpaid,Bridge A,7,False,138,3,15:02:00,15,76,Tunnel B,433
97,Monday,2024-11-04,16:20:00,November,373,Large Truck,EZ Pass,Terminal C,1,11.0,26.1,1.3,29.6,16.4,158,07:03:00,Bus,Paid,Tunnel B,3,True,426,3,15:02:00,15,76,Tunnel B,433
97,Monday,2024-11-04,16:20:00,November,373,Large Truck,EZ Pass,Terminal C,1,11.0,26.1,1.3,29.6,16.4,200,02:08:00,Small Truck,Unpaid,Bridge A,7,False,138,3,15:02:00,15,76,Tunnel B,433
189,Monday,2024-11-04,01:07:00,November,473,Bus,EZ Pass,Tunnel B,5,14.0,23.4,2.1,-6.5,11.3,158,07:03:00,Bus,Paid,Tunnel B,3,True,426,3,15:02:00,15,76,Tunnel B,433
189,Monday,2024-11-04,01:07:00,November,473,Bus,EZ Pass,Tunnel B,5,14.0,23.4,2.1,-6.5,11.3,200,02:08:00,Small Truck,Unpaid,Bridge A,7,False,138,3,15:02:00,15,76,Tunnel B,433
279,Monday,2024-11-04,04:48:00,November,494,Bus,Cash,Terminal C,1,14.9,44.4,2.9,28.3,-9.8,158,07:03:00,Bus,Paid,Tunnel B,3,True,426,3,15:02:00,15,76,Tunnel B,433
279,Monday,2024-11-04,04:48:00,November,494,Bus,Cash,Terminal C,1,14.9,44.4,2.9,28.3,-9.8,200,02:08:00,Small Truck,Unpaid,Bridge A,7,False,138,3,15:02:00,15,76,Tunnel B,433
43,Monday,2024-09-09,04:55:00,September,56,Auto,Cash,Terminal C,6,6.4,18.1,1.6,1.1,26.1,348,19:34:00,Small Truck,Paid,Bridge A,8,True,331,361,20:29:00,6,53,Terminal C,14
43,Monday,2024-09-09,04:55:00,September,56,Auto,Cash,Terminal C,6,6.4,18.1,1.6,1.1,26.1,348,19:34:00,Small Truck,Paid,Bridge A,8,True,331,365,05:45:00,7,52,Tunnel B,368
474,Monday,2024-09-09,02:49:00,September,194,Auto,EZ Pass,Bridge A,9,15.4,84.6,8.9,19.9,3.7,348,19:34:00,Small Truck,Paid,Bridge A,8,True,331,361,20:29:00,6,53,Terminal C,14
474,Monday,2024-09-09,02:49:00,September,194,Auto,EZ Pass,Bridge A,9,15.4,84.6,8.9,19.9,3.7,348,19:34:00,Small Truck,Paid,Bridge A,8,True,331,365,05:45:00,7,52,Tunnel B,368
44,Sunday,2024-03-03,08:28:00,March,140,Bus,EZ Pass,Tunnel B,8,3.2,18.8,1.1,26.8,4.1,111,10:50:00,Auto,Unpaid,Bridge A,6,True,121,127,02:46:00,14,52,Terminal C,130
